depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,axitinib (GDSC2:1021),obatoclax (GDSC2:1068),gemcitabine (GDSC2:1190),lapatinib (GDSC2:1558),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),topotecan (GDSC2:1808),teniposide (GDSC2:1809),dactinomycin (GDSC2:1811),Dihydrorotenone (GDSC2:1827),Sabutoclax (GDSC2:1849),buparlisib (GDSC2:1873),dactinomycin (GDSC2:1911),AZD6738 (GDSC2:1917),cediranib (GDSC2:1922),I-BRD9 (GDSC2:1928),MIRA-1 (GDSC2:1931),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),YM-155 (GDSC2:1941),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),AZD6482 (GDSC2:2169),JQ1-(+) (GDSC2:2172)
ACH-000196,HCC1599,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,-3.640448693,-0.557010743,-1.198740632,-7.019174469,,2.765236872,,-1.297114438,,3.242686699,-1.084407444,3.28090348,4.648202957,,,-0.403426284,-4.366775384,9.740763554,-5.50530582,2.989964874
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,0.947314787,2.394012886,2.218895903,-3.052613013,3.253856191,-1.695387171,-6.915661101,,3.561595503,,-1.467966075,,2.327639611,0.059355244,4.697800626,,,-7.327272985,-2.771511212,,9.858201855,-2.699442302,3.045443535
ACH-000223,HCC1937,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,3.042670022,-2.205497493,,0.709176496,,,,,-0.01090929,,2.577254607,0.549917059,3.8252795,3.103668444,,,0.00550741,-4.21786542,11.68690911,-3.403648668,
ACH-000859,HCC1954,Breast,Breast Ductal Carcinoma,ERneg HER2pos,Basal A,,,,-0.008827672,2.997744915,2.867967423,-0.773800278,,1.51879635,-6.961374097,,2.911157136,,-0.964709071,,3.094368425,-0.56687875,3.899340361,1.224041319,,-6.475794223,1.482625236,,11.03755412,-3.090403245,2.655598944
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,2.163607855,,,,,,-0.113642603,,2.471347549,,,2.597118832,,,,2.644473191,,3.689642745,2.14001684,,,-0.056057776,-3.178639515,11.22070901,-5.235462407,3.212209265
ACH-000691,HCC2157,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,-0.751044093,-1.294740791,-2.992390707,-0.435872881,2.806285677,1.645115845,-2.355931417,,0.44363257,-5.737965853,,,,-0.674423879,-1.23064541,3.909625297,-1.189192492,,3.796517904,,-7.302247701,0.17739875,-4.147869667,10.02683826,-5.165299541,
ACH-000755,HCC2218,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,1.032733739,-5.088916216,,0.146105684,,3.255369327,-1.444373177,,-0.001761487,,,3.900391789,,0.484403422,,3.748930262,-0.584760945,4.431349315,2.177409809,,-2.558686246,1.763528235,,,-5.133287327,2.501192963
ACH-000276,HCC38,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,-1.267066103,3.318506229,3.295005185,-4.048545137,1.547694068,0.305993331,-7.844868059,,3.86924953,,0.721148096,-1.38564673,3.374440662,0.021864903,4.465344363,3.160022568,,-7.354859798,2.159907371,-5.212193459,10.6601692,-4.849179402,
ACH-000668,HCC70,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,2.473407918,,,-1.184139776,3.085534355,2.548183019,-0.814658127,,0.141749171,-7.645251491,,3.050018701,,-1.458216369,-1.137746802,3.958657535,0.809495498,,2.211798503,,-5.854329677,0.798644029,-3.813472889,11.60253589,-3.946008095,3.279578029
ACH-000643,HDQP1,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,-0.482278089,0.507080801,,,,,,,,,,,3.07462911,-0.144326354,,,,,3.904050799,,11.69275676,,
ACH-000148,HS578T,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,1.952206853,,-5.092774857,-2.875608084,2.381648129,2.915077986,,,3.598260677,,,,,,,3.981354365,0.991916752,4.134767532,,,,0.497630693,,10.2054548,,
ACH-000711,JIMT1,Breast,Breast Ductal Carcinoma,ERneg HER2pos,Basal A,1.242636991,,-4.879108059,-1.301427697,1.422014336,1.623273324,,3.527399849,1.220329166,-7.437631882,,,,-1.141641488,,3.144067956,-0.708016924,3.758444342,1.246250991,,-7.436545769,0.009794048,-6.489023084,11.7411089,-3.773717135,
ACH-000019,MCF7,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,2.591878898,,-3.584752497,-1.083414595,1.678228916,1.951353462,-5.803293211,0.283341109,,-7.141013865,,,-1.233196141,-1.287596207,,0.499391347,-0.121961135,2.792814245,1.839179169,0.576428498,,,-7.785855833,7.455031634,-5.230489613,
ACH-000621,MDAMB157,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,-4.630467581,0.252922015,2.017705798,2.727101583,-0.991939389,,1.175067788,,,,,0.423312948,,3.219194436,-0.402948328,2.990508053,4.239293074,,,0.16085738,,11.37911789,-5.9898006,
ACH-000759,MDAMB175VII,Breast,Breast Ductal Carcinoma,ERpos HER2neg,HER2 Amp,2.225865392,-4.478680944,-4.017063626,-0.314147878,,,,,2.171936197,,,2.738315815,,,,,1.6178032,4.659516596,1.255476688,,,1.637154124,,,-2.333706968,
ACH-000768,MDAMB231,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,2.568026986,,-2.019973132,-2.415049947,0.6908754,1.178082312,,3.387965571,2.58281958,,,3.195745526,,0.49008904,,2.166523478,0.297398585,4.621701816,,,-8.130876245,0.44800055,-3.631204067,10.41183984,-3.615093695,3.83041551
ACH-001358,MDAMB330,Breast,Breast Carcinoma,,,0.650311671,,-4.047674827,,,2.328263539,-1.175698275,,0.386728171,,,3.513570605,,0.31988941,-1.489834609,3.314286419,0.384322312,2.982995209,1.081931837,,-7.631115649,1.631463247,-4.966496008,11.47318,-3.417147068,3.944026195
ACH-000934,MDAMB361,Breast,Breast Carcinoma,ERpos HER2pos,HER2 Amp,1.536604154,,-2.279550998,-0.956946939,2.83085347,2.110282973,-1.151235033,,0.768777637,-6.224252267,,,,-0.462364387,-1.192889065,3.157381809,0.397967677,4.221646512,1.298619988,,-7.2069103,0.310142624,-5.756564998,,-5.547796401,
ACH-000876,MDAMB415,Breast,Breast Carcinoma,ERpos HER2neg,HER2 Amp,3.123003865,,,,,3.173223575,,,-0.059258446,-6.189397521,,,,0.699803295,,3.8870757,0.255065494,,,,,1.656197907,,11.45588008,-2.411719713,
ACH-000573,MDAMB436,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,2.13001598,,,-1.079381685,1.833908977,1.673698806,,,1.84251485,,,,,-0.204718263,,3.942233208,1.077594836,3.195376237,0.614291864,,-7.451092074,0.687502359,,11.81423463,-1.099914804,
ACH-000910,MDAMB453,Breast,Breast Carcinoma,ERneg HER2neg,HER2 Amp,1.149227749,,,-1.909571254,2.762905847,2.516377601,,,0.763391064,,,3.19767158,,,-0.449911317,3.805468361,1.562410982,,,3.91933874,,,-2.808269491,8.530019193,-4.235194839,3.749082861
